Sr No.,Name of Works RD,Type Remod/Ext.,CCA,GCA,JE,Current Status,Completion Date as per HEWP Agreement,Agreement No. & Agreement Date,Agency Name.Mobile.Number,Maximum Length to be lined (CCAx40),Already Lined Length,Balance Length,APPROVED LENGTH,CONSTRUCTED LENGTH,Current Financial Status,Current Physical Status,Name of Village,Consitiuency,Name of Block,District,A/A Amount,Agreement Amount,Total Bill amount Received,Last Bill amount,Last Bill Date,Date on which Time extension is required,Date of Final Bill,Date of defect Liability Period,Dia of Pipe,BW,FSD,Number Of Hodi In Estimate,Number Of Hodi Constructed,Number Of Nakka In Estimate,Number Of Nakka constructed,Number Of culvert in Estimate,Number Of Culvert Constructed,Name of WUA,Contact WUA,New column
11,17113-L Kharal Minor,REMODELLING,491,496,Sunil Kumar/Anil Hans,COMPLETED AT SITE,31/10/2023,"No. 55 Dated 31.01.2023","THE BHAGWATI CO-OP VIRENDER 8168188380",19640,13526,6114,13526,13341,98.63%,,Kharal,NARWANA,NARWANA,JIND,8950000,,5940088,5906735,13/09/2023,work has final,13.09.2023,,2.3,0.875,-,-,81,101,14,14,,9996252299 mahabir,
12,40807-L Koth Kalan Disty,REMODELLING,313.29,349.29,Sunil Kumar/Anil Hans,COMPLETED AT SITE,12/1/2024,"No. 69 Dated 12/04/2023","THE PARBHU CO-OP ANAND 7015512673",12530,7678,4852,7678,7664,99.82%,,Koth kalan,NARNAUND,NARNAUND,HISAR,6930000,3124700,3168917,3162948,29.02.2024,work has final,29.02.2024,,2.3,0.625,-,-,46,70,8,11,,9466476439,
13,12178-L Uklana Minor,REMODELLING,417.18,624,Sunil Kumar/Anil Hans,COMPLETED AT SITE,10/6/2023,"No. 56 Dated 10/03/2023","JITGIR UDEYPUR CO-OP. SATISH 9306926206",16687.2,8316,8371.2,8316,7616,91.58%,,Ukalana,UKLANA,UKLANA,HISAR,8350000,3609214,,,,,,,1.9,0.875,-,-,50,59,8,10,CANAL JAL SAMITI RD MOGA 12178-L UKLANA MINOR,"9416546586 , 8708161900 SAVARANJIT, ",
14,8000-L 2L Sainthali Minor,REMODELLING,444,503,Sunil Kumar/Anil Hans,COMPLETED AT SITE,8/2/2024,"No. 74 Dated 08/05/2023","THE PARBHU CO-OP ANAND 7015512673",17760,11108,6652,11108,9623,89.11%,,Mangalpur,UCHANA,UCHANA,JIND,9000000,4840142,4313245,4313245,26.02.2024,work has final,26.02.2024,,1.9,0.875,-,-,67,74,11,12,,"9416471976 khujana, 9416038222 ratanlal",
15,5800-L Hansawala Disty,REMODELLING,,,Anil Hans JE,COMPLETED AT SITE,,"No. 82 Dated 18/5/2023","JASPAL CONT 9812054094",0,,0,9648,,#DIV/0!,,Jajjanwala,NARWANA,NARWANA,JIND,,,,,,,,,,,,,,,,,,,,
16,27400-L Kalwan Mr(Pending),REMODELLING,343,370,Sunil Kumar ,"Yet to be started work alotted to agency sonu sanga",16/9/2024,"No. 161 Dated 12/03/2024","SONU CONT. 9996560530",13720,0,13720,8899,-,0.00%,,Narayangarh,NARWANA,NARWANA,JIND,4450000,3989332,,,,16/9/2024,,,400,,,18,-,61,-,-,-,,9812613646 Vijay,
17,27000-R Kalwan Minor,REMODELLING,,,Anil Hans JE,COMPLETED AT SITE,,"No. 127 Dated 17/10/2023","THE PARBHU CO-OP ANAND 7015512673",0,,0,5553,5273,#DIV/0!,,Narayangarh,NARWANA,NARWANA,JIND,,,,,,,final,,350,-,-,,12,,35,-,-,,9416140482 satpal,
18,64400-L Dhamtan Disty,REMODELLING,656,778,Sunil Kumar ,COMPLETED AT SITE,18/10/2024,"No. 123 Dated 11/10/2023","VISHNU CONT. 9812076632",26240,22663,3577,22663,22663,99.49%,,Ujhana,NARWANA,NARWANA,JIND,14260000,12939462,12873977,1948396,15/7/2024,18/10/2024,,,500,-,-,39,37,151,147,-,-,,"9812147297 BAJINDER, 7015001322 PALA KA LADKA",
19,24000-R Pabra Sub Branch,REMODELLING,92,106,Sunil Kumar ,COMPLETED AT SITE,7/12/2024,"No. 86 Dated 23/05/2022","BAJRANG BALI CO-OP SACHIN 9996070584",3680,3680,0,3680,3680,97.17%,,Bobua,BARWALA,BARWALA,HISAR,2220000,1316205,1278935,1278935,6/1/2024,work has final,final,,1.9,0.625,-,-,22,,4,,,9466335175 mohan,
20,130510-R.Dhamtan DISTY.,REMODELLING,494,593,Sunil Kumar ,"length has COMPLETED AT SITE only lid pannel work pending",27/2/2024,"No. 89 Dated 26/05/2023","SONU CONT. 9996560530",19760,10370,2652,13022,10370,79.63%,,kalwan,NARWANA,NARWANA,JIND,7000000,6303651,4352434,3353201,28/07/2023,27/2/2024,,,450,,,27,17,91,65,-,-,,9996464005 samunder,
21,29325-L Barsola feeder,REMODELLING,507,563,Sunil Kumar ,UNDER CONSTRUCTION,31/5/2024,"No. 115 Dated 28/08/2023","SONU CONT. 9996560530",20280,4210,16070,18550,4210,20.57%,,Kheri Masaniya,UCHANA,UCHANA,JIND,10200000,9571363,1969006,1969006,8/8/2024,28/05/2024,,,450,-,-,32,7,123,23,-,-,,"9416831158 kitaba, 9416221354 ramnivas",
22,141000-L. Dhamtan DISTY,REMODELLING,479,505,Sunil Kumar ,"length has COMPLETED AT SITE only lid pannel work pending",22/4/2025,"No. 187 Dated 11/07/2024","MEOND KALAN VIJAY 9416283563",19160,0,19160,18970,6000,0.00%,,"Fulian kalan,Julhera",NARWANA,NARWANA,JIND,10433000,9147643,,,,22/4/2025,1st bill submitted,,450,,,41,,135,-,-,-,,9467975116 Balbir,
23,24700-L Dharodi Minor,REMODELLING,1008.61,1102.61,Sunil Kumar ,COMPLETED AT SITE,,"No. 155 Dated 12/03/2024","BALVINDER CONT. 9466346088",40344.4,30884,9460.4,40276,30884,76.68%,,Belarkha,NARWANA,NARWANA,JIND,41800000,36583969,26414489,12262724,31/07/2024,12/3/2025,,,700,-,-,67,35,296,185,-,-,jal samiti belarkha moga no 24700-L belarkha minor,9588152471 jogiraam,
24,"31055/R Badhwar Disty(Transfer)",REMODELLING,,,Sunil Kumar ,COMPLETED AT SITE,10/4/2024,"No. 106 Dated 10/07/2023","VISHNU CONT. 9812076632",0,,0,19384,,0.00%,,Barwala,Barwala,Barwala,Hisar,15060000,8499668,,,,,,,2.7,0.875,-,-,116,122,19,24,CANALJAL SAMITI RD MOGA 31055-R BADHAWAR DISTY.,"7988905083, 9466611066 Ramesh",
25,12350/R S S link Channel,REMODELLING,438,441,Sunil Kumar ,COMPLETED AT SITE,12/12/2023,"No. 101 Dated 12/06/2023","VISHNU CONT. 9812076632",17520,8232,9288,8232,8229,99.96%,,Bass Badshahpur,Hansi,Hansi,Hisar,8750000,3875651,,,,,,,2.3,0.875,-,-,49,92,8,11,CANAL JAL SAMITI RD MOGA 12350-R SS LINK CHANNEL,9416127339 PARMOD MOR,
26,"18000/18225-R,NSK.Link",REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,11747,,#DIV/0!,,BITHMARA,Uklana,Uklana,HISAR,,,,,,,,,,,,,,,,,,,"9466641074 righan, ",
27,33200-R Lown Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Rajesh Contractor But farmers are now demanding Ugpl instead of open watercourse",,S,,0,,0,23200,,#DIV/0!,,"PHOOLIAN KALAN,KHURD",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9518465543 nasib,
28,112600-L Dhamtan DISTY.,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,15564,,#DIV/0!,,DHAMTAN SAHIB,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9813589865 mahender,
29,134980-L Dhamtan DISTY.,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"KALWAN,DHAMTAN,SULHERA",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
30,138000-R Dhamtan DISTY.,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,10142,,#DIV/0!,,JULHERA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9813460895 balwan,
31,18600-R Gurthali Lift Minor,REMODELLING,,,Sunil Kumar ,"Detail estimate sent to head office for sanction",,,,0,,0,"30880 may be chenged",,#DIV/0!,,BELARKHAN,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9466455793 ajmer,
32,17170-R Lown Minor,REMODELLING,,,Anil Hans JE,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,,,#DIV/0!,,"DHAMTAN,LOWN",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
33,17575-R Kharal Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,15600,,#DIV/0!,,KHARAL,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9996777941 sukhdev,
34,2150-L Gurthali Lift Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,11240,,#DIV/0!,,MOHALKHERA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9416969298 vedpal,
35,20900-R NSK Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,11680,,#DIV/0!,,SACHHAKHERA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9817911930 manbir,
36,67700-R BML Link,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,BELARKHAN,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9588152471 jogiram,
37,22568-R Mohalgarh Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Dharampal Naydu Cont.",,,,0,,0,17400,,#DIV/0!,,GURUSAR,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,"8708185374 rahul,",
38,53500-R Dharodi Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE OF OPEN W/C HAS SANCTINED BUT NOW FARMERS WANT UGPL",,,,0,,0,,,#DIV/0!,,KARAMGARH,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
39,31130/12380-L Dharodi Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,16900,,#DIV/0!,,BELARKHAN,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9466455793 ajmer,
40,"41000-TL Pipaltha Minor",REMODELLING,,,Sunil Kumar ,"NOT FEASIBLE AA RECEIVED BUT PENDING DUE TO CHAK PLAN NOT FOUND",,,,0,,0,,,#DIV/0!,,DHABITEKSINGH,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
41,16750-R NSK Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,12089,,#DIV/0!,,SACHHAKHERA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9416010810 ramdiya,
42,15113-L NSK Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Jitender chanot Cont.",,,,0,,0,5920,,#DIV/0!,,"MANGALPUR,SACHHAKHERA",UCHANA,UCHANA,JIND,,,,,,,,,,,,,,,,,,,9817911930 manbir,
43,40000-L Dhanauri Disty,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,DHANAURI,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
44,28180-R pipaltha Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"GARHI,PIPALTHA",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
45,20160-L Mohalgarh Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,GURUSAR,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
46,17773-L Kalwan Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,12400,,#DIV/0!,,PIPALTHA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,8950900295 rishipal,
47,11500-L kalwan Minor,REMODELLING,,,Sunil Kumar,"NOT FEASIBLE PENDING DUE TO CHAKPLAN AND FARMER DETAIL NOT FOUND ",,,,0,,0,,,#DIV/0!,,"PIPALTHA,REWAR",Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
48,15530-L kalwan Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,PIPALTHA,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
49,23100-L NSk Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,,
50,16888-L Chhatar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
51,18000-L Chattar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
52,11500/21588-R Chattar Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
53,"20700/30788-TF Chhatar Minor",REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE OF UGPL HAS SANCTIONED BUT NOW FARMER WANTS OPEN W/C",,,,0,,0,,,#DIV/0!,,CHHATER,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
54,17493-R Kheri Saffa Minor,REMODELLING,,,Sunil Kumar ,DETAIL ESTIMATE PENDING,,,,0,,0,,,#DIV/0!,,"PALWAN,UCHANA",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
55,13000-L New Sainthaly Minor,REMODELLING,,,Sunil kumar,"NOT FEASIBLE OUT OF NORMS AS NOT 20 YEAR OLD",,,,0,,0,,,#DIV/0!,,MANGALPUR,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
56,1520-R New Chhan Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,11994,,#DIV/0!,,MAKHAND,UCHANA,UCHANA,JIND,,,,,,,,,,,,,,,,,,,8901429510 chandiram,
57,13513-L NSK Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"MANGALPUR,BADANPUR",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
58,19000-L Chhatar Badsikri Link,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"CHHATER,MANDIKALAN",Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,,
59,14975-R Sandlana Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Vicky Nehra Cont.",,,,0,,0,17000,,#DIV/0!,,KAKROD,Uchana,Uchana,JIND,,,,,,,,,,,,,,,,,,,"9813060478 mahabir,8930057144 rajpal,8053439530 satpal",
60,54750-L Dhamtan Disty,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to GB Traders Cont.",,,,0,,0,18480,,#DIV/0!,,"KHERILAMBA,KURAR",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9467646064 mahender, 9671060877 baldev",
61,15188/18088-L Mohalgarh Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,DHUNDWA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
62,52585-L Sirsa Parallel Disty,REMODELLING,,,Sunil Kumar ,"PENDING SURVEY farmers not showing interest",,,,0,,0,,,#DIV/0!,,KALAYAT,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9050217010 vikram, 9812319352 foji, 9896711627 Anil Hans",
63,31500-R Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,"Detail estimate sent to head office for sanction",,,,0,,0,,,#DIV/0!,,SAJUMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,8059433137 kuldeep,
64,1000-L Sajuma Minor,REMODELLING,,,Sunil kumar,"Detail estimate submitted to xen",,,,0,,0,,,#DIV/0!,,NARWALGARH,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,9466270418 rajesh,
65,11900-L Mataur Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14600,,#DIV/0!,,MATOUR,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,"9050284323 mayasingh,8307619504 ",
66,14990-L Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14597,,#DIV/0!,,"BATTA,BRAHMNIVALA",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,9813355562 shabsingh,
67,50910-R Dhamtan Sub Branch,REMODELLING,,,Sunil Kumar ,"Detail estimate pending at Head office",,,,0,,0,,,#DIV/0!,,KURAR,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
68,8500-R sajuma Minor,REMODELLING,,,Sunil Kumar ,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,7900,,#DIV/0!,,DHUNDERHERI,KAITHAL,KAITHAL,KAITHAL,,,,,,,,,,,,,,,,,,,"9991053700 amarjeet, 8168849231 shilu",
69,94625-R Sudkan Disty,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,"BADSIKRI,MATOUR",Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
70,4500-L Sajuma Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,SAZOOMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
71,42300-L Sirsa Parallel,REMODELLING,,,Anil Hans JE,"NOT FEASIBLE DUE TO CHAKPLAN AND FARMER DETAIL NOT FOUND ",,,,0,,0,,,#DIV/0!,,KALAYAT,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
72,4300-R Sajuma Minor,REMODELLING,,,Sunil Kumar ,TENDER HAS FLOATED,,,,0,,0,14065,,#DIV/0!,,"BATA,DEEWAL",KAITHAL,KAITHAL,KAITHAL,,,,,,,,,,,,,,,,,,,"9518864104 gurjant, 9416660923 bedu",
73,8000-L Sajuma Minor,REMODELLING,,,Anil Hans JE,"DETAIL ESTIMATE SANCTIONED BUT TENDER HAS NOT CALLED YET",,,,0,,0,,,#DIV/0!,,SAZOOMA,Kalayat,Kalayat,KAITHAL,,,,,,,,,,,,,,,,,,,,
74,5148-R NSK Link Channel,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Gurdeep Cont.",,,,0,,0,10600,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,7206728042 sajjna,
75,"13000/13225/R.Pabra.sub.Branch",REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Anand Cont.",,,,0,,0,20372,,#DIV/0!,,Litani,Barwala,Barwala,Hisar,,,,,,,,,,,,,,,,,,,9466372080 sandeep,
76,37265/L NSK Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Anand Cont.",,,,0,,0,12800,,#DIV/0!,,DANODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,9991455698 mahender,
77,37200/L NSK Minor,REMODELLING,,,Sunil Kumar ,"Tender has opened and work alloted to Vishnu Cont.",,,,0,,0,26637,,#DIV/0!,,DaNODA KHURD,Narwana,Narwana,JIND,,,,,,,,,,,,,,,,,,,"8199027944 rajender, 9017598221 sandeep, ",
78,120100-R Sudkan Disty,EXTENSION,,,Sunil Kumar ,"DETAIL ESTIMATE sent to xen office",,,,0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,"7988162257 sudhir, 7027318422 ",
79,13245-R Barsola Minor,EXTENSION,324,355,Sunil Kumar ,COMPLETED AT SITE,16/9/2024,"No. 160 Dated 12.03.2024","THE JITGIR UDEYPUR SATISH 9992655030",12960,0,0,1540,1540,99.85%,,Ghasso ,Uchana,UCHANA,JIND,871000,593591,592684,280913,15/7/2024,NOT REQUIRED,PENDING,,2.3,0.625,-,-,9,,2,,,"9306102551 SAMSHER, 9468140808 NARESH",
80,22300-L Barsoal Minor,EXTENSION,,,Anil Hans JE,COMPLETED AT SITE,,,"THE JITGIR UDEYPUR SATISH 9992655030",0,,0,,,#DIV/0!,,,NARWANA,,,,,,,,,,,,,,,,,,,,,,
81,6912-L Belarkha Minor,EXTENSION,405,433,Sunil Kumar ,COMPLETED AT SITE,15/9/2024,"No. 157 dated 12.03.2024","VISHNU CONT.",16200,0,0,2418,2418,99.53%,,Dhundwa,Kalayat,Kalayat,Jind,1464000,1107227,1102014,435235,15/7/2024,final bill submitted,SENT FOR FINAL ,,1.9,0.875,-,-,22,,5,,,"satpal  9996913351, Bahadur",
